date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:06:56	1515/1515	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202022%2015:06:55%20GMT	https://app.optimism.io/announcement	C:/My%20Web%20Sites/newop/app.optimism.io/announcement.html	(from )
16:06:57	78/78	---MCZ	200	added ('OK')	text/plain	etag:W/%227172fc949ad9060a8d15b75fcf9975ee-ssl%22	https://app.optimism.io/robots.txt		(from )
16:07:00	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%227fe446b2254b3a1c9547a24e15f32405-ssl%22	https://app.optimism.io/favicon.ico	C:/My%20Web%20Sites/newop/app.optimism.io/favicon.ico	(from https://app.optimism.io/announcement)
16:07:00	1321/1321	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2001%20Jul%202022%2015:07:00%20GMT	https://plausible.io/js/plausible.js	C:/My%20Web%20Sites/newop/plausible.io/js/plausible.js	(from https://app.optimism.io/announcement)
16:07:01	8595/8595	---M--	200	added ('OK')	image/png	etag:%2223fb01701d46e9371186de4110cc6c32-ssl%22	https://app.optimism.io/optimismlogo.png	C:/My%20Web%20Sites/newop/app.optimism.io/optimismlogo.png	(from https://app.optimism.io/announcement)
16:07:01	306/306	---MCZ	200	added ('OK')	application/json	etag:W/%220a2026cca9af65d18b60f014f203afc3-ssl%22	https://app.optimism.io/manifest.json	C:/My%20Web%20Sites/newop/app.optimism.io/manifest.json	(from https://app.optimism.io/announcement)
16:07:02	31836/31836	---M-Z	200	added ('OK')	text/css	etag:%2242f58f56483e2b6a158255900b3176f7-ssl-df%22	https://app.optimism.io/static/css/main.d7997efb.css	C:/My%20Web%20Sites/newop/app.optimism.io/static/css/main.d7997efb.css	(from https://app.optimism.io/announcement)
16:07:03	2205212/2205212	---M-Z	200	added ('OK')	application/javascript	etag:%22c2b842171d05e5745bab1440dbbe3363-ssl-df%22	https://app.optimism.io/static/js/main.9f7ac92e.js	C:/My%20Web%20Sites/newop/app.optimism.io/static/js/main.9f7ac92e.js	(from https://app.optimism.io/announcement)
